iters;threads;time;
400000000;1;84.5887;
400000000;2;44.0797;
400000000;3;31.9618;
400000000;4;23.6133;
400000000;5;19.1399;
400000000;6;15.4831;
400000000;7;13.4622;
400000000;8;12.0453;
400000000;9;10.4449;
400000000;10;8.93971;
400000000;11;8.28984;
400000000;12;7.85245;
400000000;13;7.65203;
400000000;14;6.64752;
400000000;15;6.58625;
400000000;16;6.64894;
400000000;17;6.12229;
400000000;18;5.44091;
400000000;19;5.0715;
400000000;20;4.85541;
400000000;21;4.8573;
400000000;22;4.3855;
400000000;23;4.23147;
400000000;24;3.82249;
400000000;25;3.82604;
400000000;26;3.58723;
400000000;27;3.47618;
400000000;28;3.48476;
400000000;29;3.34749;
400000000;30;3.33451;
400000000;31;3.17039;
400000000;32;2.94757;
400000000;33;3.05389;
400000000;34;3.11601;
400000000;35;2.99129;
400000000;36;2.95613;
400000000;37;2.69774;
400000000;38;2.74752;
400000000;39;2.92702;
400000000;40;2.68171;
400000000;41;2.95901;
400000000;42;2.77225;
400000000;43;2.61287;
400000000;44;2.74039;
400000000;45;2.68389;
400000000;46;3.01603;
400000000;47;2.77265;
400000000;48;2.79686;
400000000;49;2.53946;
400000000;50;2.50273;
400000000;51;2.60292;
400000000;52;2.61157;
400000000;53;2.46106;
400000000;54;2.47007;
400000000;55;2.48271;
400000000;56;2.45158;
400000000;57;2.61666;
400000000;58;2.57841;
400000000;59;2.54721;
400000000;60;2.35796;
400000000;61;2.5445;
400000000;62;2.58955;
400000000;63;2.41593;
400000000;64;2.40689;
400000000;65;2.81588;
400000000;66;2.27306;
400000000;67;2.49166;
400000000;68;2.7182;
400000000;69;2.68284;
400000000;70;2.43861;
400000000;71;2.37413;
400000000;72;2.52627;
400000000;73;2.42048;
400000000;74;2.43871;
400000000;75;2.72214;
400000000;76;2.41835;
400000000;77;3.55334;
400000000;78;2.88258;
400000000;79;3.65952;
400000000;80;4.76575;

